Predicted Confidence Credibility
G00001 Yes 0.91 0.24
G00002 Yes 0.95 0.50
G00003 Yes 0.95 0.31
G00004 Yes 0.95 0.48
G00005 Yes 0.85 0.21
G00006 Yes 0.89 0.20
G00007 Yes 1.00 0.86
G00008 Yes 0.95 0.51
G00009 Yes 0.89 0.21
G00010 Yes 1.00 0.81
G00011 Yes 0.85 0.24
G00012 Yes 0.92 0.25
G00013 Yes 0.90 0.30
G00014 Yes 0.88 0.28
G00015 Yes 0.94 0.30
G00016 Yes 0.84 0.17
G00017 Yes 0.91 0.32
G00018 Yes 0.91 0.24
G00019 Yes 0.94 0.30
G00020 Yes 0.92 0.25
G00021 Yes 0.86 0.18
G00022 Yes 0.93 0.29
G00023 Yes 0.88 0.20
G00024 Yes 0.95 0.31
G00025 Yes 0.94 0.45
G00026 Yes 0.90 0.21
G00027 Yes 0.90 0.21
G00028 Yes 0.90 0.21
G00029 Yes 0.94 0.46
G00030 Yes 0.89 0.20
G00031 Yes 0.95 0.31
G00032 Yes 0.86 0.26
G00033 Yes 0.83 0.18
G00034 Yes 0.91 0.25
G00035 Yes 0.91 0.25
G00036 Yes 0.93 0.28
G00037 Yes 0.86 0.26
G00038 Yes 0.88 0.18
G00039 Yes 0.95 0.31
G00040 Yes 0.93 0.37
G00041 Yes 0.88 0.18
G00042 Yes 0.91 0.24
G00043 Yes 0.89 0.21
G00044 Yes 0.85 0.21
G00045 Yes 0.88 0.18
G00046 Yes 0.95 0.31
G00047 Yes 0.89 0.21
G00048 Yes 0.86 0.26
G00049 Yes 0.90 0.31
G00050 Yes 0.89 0.20
G00051 Yes 0.92 0.26
G00052 Yes 0.96 0.60
G00053 Yes 0.94 0.43
G00054 Yes 0.86 0.18
G00055 Yes 0.88 0.18
G00056 Yes 0.91 0.23
G00057 Yes 0.93 0.39
G00058 Yes 0.85 0.18
G00059 Yes 0.94 0.44
G00060 Yes 0.94 0.44
G00061 Yes 0.86 0.26
G00062 Yes 0.85 0.25
G00063 Yes 0.93 0.40
G00064 Yes 0.92 0.36
G00065 Yes 0.93 0.41
G00066 Yes 0.94 0.46
G00067 Yes 0.92 0.36
G00068 Yes 0.88 0.18
G00069 Yes 0.89 0.20
G00070 Yes 0.94 0.43
G00071 Yes 0.94 0.43
G00072 Yes 0.92 0.36
G00073 Yes 0.94 0.43
G00074 Yes 0.92 0.36
G00075 Yes 0.86 0.18
G00076 Yes 0.86 0.25
G00077 Yes 0.97 0.65
G00078 Yes 0.97 0.65
G00079 Yes 0.97 0.65
G00080 Yes 0.94 0.30
G00081 Yes 0.97 0.65
G00082 Yes 0.97 0.65
G00083 Yes 0.97 0.65
G00084 Yes 0.98 0.73
G00085 Yes 0.99 0.78
G00086 Yes 0.90 0.31
G00087 Yes 0.84 0.17
G00088 Yes 0.84 0.17
G00089 Yes 0.86 0.26
G00090 Yes 0.86 0.18
G00091 Yes 0.85 0.18
G00092 Yes 0.93 0.39
G00093 Yes 0.85 0.18
G00094 Yes 0.84 0.18
G00095 Yes 0.95 0.31
G00096 Yes 0.86 0.26
G00097 Yes 0.86 0.26
G00098 Yes 0.86 0.26
G00099 Yes 0.92 0.35
G00100 Yes 0.84 0.20
